Ticker,Segmento,DY_Anual,P_VP,Liquidez_Diaria,Vacancia,Patrimonio,Perfil_Risco,Perfil_Ideal_Investidor,Liquidez_Patrimonio,Desconto_VP,DY_por_Vacancia,Indice_Valor,Log_Patrimonio,Log_Liquidez,Score_Risco
DAMA11,Multicategoria,0.1419,0.84,2426.0,0.0,36544400.0,Médio,Moderado,6.638500016418385e-05,0.16,14.19,0.1689285714285714,17.41403854501117,7.794411205726601,40.0
DAMT11,Shoppings,0.0407,1.63,494.0,0.0661,412668000.0,Alto,Arrojado,1.1970882161931624e-06,-0.6299999999999999,0.5348226018396847,0.0249693251533742,19.838153955976512,6.20455776256869,67.91
DAYM11,Outros,0.0864,0.41,7843.0,0.0,69258800.0,Médio,Moderado,0.0001132419273796,0.5900000000000001,8.64,0.2107317073170731,18.053360785209147,8.967504187316237,44.0
DCRA11,Outros,0.0455,0.72,81782.0,0.0,47239700.0,Médio,Moderado,0.0017312133650298,0.28,4.55,0.0631944444444444,17.670745219891526,11.311824677031566,52.0
DEVA11,Multicategoria,0.2291,0.19,642025.0,0.0,259129000.0,Médio,Moderado,0.0024776269734379,0.81,22.91,1.2057894736842103,19.37283656902552,13.372384080294426,60.0
DMAC11,Residencial,0.0,2.61,0.0,0.0,2029400.0,Alto,Arrojado,0.0,-1.61,0.0,0.0,14.523251233583478,0.0,65.0
DOMC11,Multicategoria,0.0,4.13,0.0,0.133,1072830000.0,Alto,Arrojado,0.0,-3.13,0.0,0.0,20.793565854678683,0.0,70.95
DOVL11,Escritórios,0.1372,1.0,14434.0,0.0,38717400.0,Médio,Moderado,0.0003728039589435,0.0,13.72,0.1372,17.471799695185922,9.577411092097035,36.0
DPRO11,Multicategoria,0.1444,0.52,1785.0,0.0,24565800.0,Médio,Moderado,7.266199350316293e-05,0.48,14.44,0.2776923076923077,17.016865830421484,7.487733761436444,50.0
DRIT11,Lajes Corporativas,0.0,0.06,0.0,0.0,4021240.0,Médio,Moderado,0.0,0.94,0.0,0.0,15.207101119422829,0.0,60.0
DVFF11,Outros,0.1439,0.62,60129.0,0.0,59341200.0,Médio,Moderado,0.0010132757679318,0.38,14.39,0.2320967741935484,17.898814411921094,11.004264164033614,52.0
EDFO11,Residencial,0.0803,0.69,14984.0,1.0003,39249800.0,Alto,Arrojado,0.0003817599070568,0.31,0.0794813421755914,0.1163768115942029,17.485456932116143,9.614804979750764,77.0
EDGA11,Multicategoria,0.0250999999999999,0.3,16731.0,0.1871999999999999,53178200.0,Alto,Arrojado,0.0003146214050118,0.7,0.1272819472616632,0.0836666666666666,17.789159114699995,9.72507833256209,88.08
